id,title,normalized_title,dblp_key,publication_type,year,journal,booktitle,volume,number,pages,publisher,series,editor,url,doi,ee,biburl,bibsource,abstract,keywords,timestamp,citation_count,has_faculty_author,author_count,source_pid,source_pids,created_at,updated_at
327,TOSCAdata: Modeling data pipeline applications in TOSCA,toscadata modeling data pipeline applications in tosca,DBLP:journals/jss/DehuryJSGG22,article,2022,J. Syst. Softw.,,186,,111164,,,,https://doi.org/10.1016/j.jss.2021.111164,10.1016/J.JSS.2021.111164,,https://dblp.org/rec/journals/jss/DehuryJSGG22.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 16 Aug 2022 01:00:00 +0200",0,True,5,09/1571,09/1571,2026-01-31 22:35:58.652174,2026-01-31 22:35:58.659712
328,"Post golden jubilee year of the software journal: New research trends
and strengthening advisory editorial team",post golden jubilee year of the software journal new research trends and strengthening advisory editorial team,DBLP:journals/spe/SriramaB22,article,2022,Softw. Pract. Exp.,,52,1,3--4,,,,https://doi.org/10.1002/spe.3055,10.1002/SPE.3055,,https://dblp.org/rec/journals/spe/SriramaB22.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 08 Jan 2022 00:00:00 +0100",0,True,2,09/1571,09/1571,2026-01-31 22:35:58.676889,2026-01-31 22:35:58.680844
329,"A comprehensive survey on nature-inspired algorithms and their applications
in edge computing: Challenges and future directions",a comprehensive survey on natureinspired algorithms and their applications in edge computing challenges and future directions,DBLP:journals/spe/AdhikariSA22,article,2022,Softw. Pract. Exp.,,52,4,1004--1034,,,,https://doi.org/10.1002/spe.3025,10.1002/SPE.3025,,https://dblp.org/rec/journals/spe/AdhikariSA22.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 04 Jul 2025 01:00:00 +0200",0,True,3,09/1571,09/1571,2026-01-31 22:35:58.681090,2026-01-31 22:35:58.688844
330,"Cybertwin-Driven Resource Provisioning for IoE Applications at 6G-Enabled
Edge Networks",cybertwindriven resource provisioning for ioe applications at 6genabled edge networks,DBLP:journals/tii/AdhikariMKS22,article,2022,IEEE Trans. Ind. Informatics,,18,7,4850--4858,,,,https://doi.org/10.1109/TII.2021.3096672,10.1109/TII.2021.3096672,,https://dblp.org/rec/journals/tii/AdhikariMKS22.bib,"dblp computer science bibliography, https://dblp.org",,,"Wed, 27 Apr 2022 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.689259,2026-01-31 22:35:58.693440
343,A Strategy for Advancing Research and Impact in New Computing Paradigms,a strategy for advancing research and impact in new computing paradigms,DBLP:journals/corr/abs-2104-04070,article,2021,CoRR,,abs/2104.04070,,,,,,https://arxiv.org/abs/2104.04070,,,https://dblp.org/rec/journals/corr/abs-2104-04070.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 13 Apr 2021 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.841672,2026-01-31 22:35:58.854562
331,"Intelligent Service Deployment Policy for Next-Generation Industrial
Edge Networks",intelligent service deployment policy for nextgeneration industrial edge networks,DBLP:journals/tnse/HazraAAS22,article,2022,IEEE Trans. Netw. Sci. Eng.,,9,5,3057--3066,,,,https://doi.org/10.1109/TNSE.2021.3122178,10.1109/TNSE.2021.3122178,,https://dblp.org/rec/journals/tnse/HazraAAS22.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 22 Sep 2022 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.703795,2026-01-31 22:35:58.716041
332,"COSCO: Container Orchestration Using Co-Simulation and Gradient
Based Optimization for Fog Computing Environments",cosco container orchestration using cosimulation and gradient based optimization for fog computing environments,DBLP:journals/tpds/TuliPSCJ22,article,2022,IEEE Trans. Parallel Distributed Syst.,,33,1,101--116,,,,https://doi.org/10.1109/TPDS.2021.3087349,10.1109/TPDS.2021.3087349,,https://dblp.org/rec/journals/tpds/TuliPSCJ22.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 30 Sep 2023 01:00:00 +0200",0,True,5,09/1571,09/1571,2026-01-31 22:35:58.716493,2026-01-31 22:35:58.720510
333,Fog Computing out of the Box with FogDEFT Framework: A Case Study,fog computing out of the box with fogdeft framework a case study,DBLP:conf/IEEEcloud/SriramaB22,conference,2022,,"IEEE 15th International Conference on Cloud Computing, CLOUD 2022,
Barcelona, Spain, July 10-16, 2022",,,342--350,IEEE,,"Claudio Agostino Ardagna, Nimanthi L. Atukorala, Rajkumar Buyya, Carl K. Chang, Rong N. Chang, Ernesto Damiani, Gargi Banerjee Dasgupta, Fabrizio Gagliardi, Christoph Hagleitner, Dejan S. Milojicic, Tuan M. Hoang Trong, Robert Ward, Fatos Xhafa, Jia Zhang",https://doi.org/10.1109/CLOUD55607.2022.00057,10.1109/CLOUD55607.2022.00057,,https://dblp.org/rec/conf/IEEEcloud/SriramaB22.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 12 Nov 2023 00:00:00 +0100",0,True,2,09/1571,09/1571,2026-01-31 22:35:58.740241,2026-01-31 22:35:58.744642
334,"CCEI-IoT: Clustered and Cohesive Edge Intelligence in Internet of
Things",cceiiot clustered and cohesive edge intelligence in internet of things,DBLP:conf/edge/DehuryDDS22,conference,2022,,"IEEE International Conference on Edge Computing and Communications,
EDGE 2022, Barcelona, Spain, July 10-16, 2022",,,33--40,IEEE,,"Claudio Agostino Ardagna, Hongyi Bian, Carl K. Chang, Rong N. Chang, Ernesto Damiani, Gabriele Elia, Qiang He, Vicenç Puig, Robert Ward, Fatos Xhafa, Jia Zhang",https://doi.org/10.1109/EDGE55608.2022.00017,10.1109/EDGE55608.2022.00017,,https://dblp.org/rec/conf/edge/DehuryDDS22.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 18 Oct 2024 08:29:21 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.745002,2026-01-31 22:35:58.757334
335,"Serverless Outlier Management for Environmental IoT Data - A Case
Study of PuhatuMonitoring",serverless outlier management for environmental iot data  a case study of puhatumonitoring,DBLP:conf/wf-iot/PoojaraJJS22,conference,2022,,"8th IEEE World Forum on Internet of Things, WF-IoT 2022, Yokohama,
Japan, October 26 - Nov. 11, 2022",,,1--7,IEEE,,,https://doi.org/10.1109/WF-IoT54382.2022.10152102,10.1109/WF-IOT54382.2022.10152102,,https://dblp.org/rec/conf/wf-iot/PoojaraJJS22.bib,"dblp computer science bibliography, https://dblp.org",,,"Wed, 28 Jun 2023 15:42:23 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.757785,2026-01-31 22:35:58.760783
336,A Strategy for Advancing Research and Impact in New Computing Paradigms,a strategy for advancing research and impact in new computing paradigms,DBLP:books/sp/22/BuyyaGSBM22,book_chapter,2022,,Green Mobile Cloud Computing,,,297--308,Springer,,"Debashis De, Anwesha Mukherjee, Rajkumar Buyya",https://doi.org/10.1007/978-3-031-08038-8_15,10.1007/978-3-031-08038-8_15,,https://dblp.org/rec/books/sp/22/BuyyaGSBM22.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 07 May 2024 19:59:13 +0200",0,True,5,09/1571,09/1571,2026-01-31 22:35:58.772207,2026-01-31 22:35:58.775563
337,"Akka framework based on the Actor model for executing distributed
Fog Computing applications",akka framework based on the actor model for executing distributed fog computing applications,DBLP:journals/fgcs/SriramaDA21,article,2021,Future Gener. Comput. Syst.,,117,,439--452,,,,https://doi.org/10.1016/j.future.2020.12.011,10.1016/J.FUTURE.2020.12.011,,https://dblp.org/rec/journals/fgcs/SriramaDA21.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 23 Jan 2021 00:00:00 +0100",0,True,3,09/1571,09/1571,2026-01-31 22:35:58.794735,2026-01-31 22:35:58.797150
338,"Stackelberg Game for Service Deployment of IoT-Enabled Applications
in 6G-Aware Fog Networks",stackelberg game for service deployment of iotenabled applications in 6gaware fog networks,DBLP:journals/iotj/HazraAAS21,article,2021,IEEE Internet Things J.,,8,7,5185--5193,,,,https://doi.org/10.1109/JIOT.2020.3041102,10.1109/JIOT.2020.3041102,,https://dblp.org/rec/journals/iotj/HazraAAS21.bib,"dblp computer science bibliography, https://dblp.org",,,"Wed, 07 Apr 2021 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.803410,2026-01-31 22:35:58.814793
339,"A Blockchain-based Cyber Attack Detection Scheme for Decentralized
Internet of Things using Software-Defined Network",a blockchainbased cyber attack detection scheme for decentralized internet of things using softwaredefined network,DBLP:journals/spe/RoyS21,article,2021,Softw. Pract. Exp.,,51,7,1540--1556,,,,https://doi.org/10.1002/spe.2972,10.1002/SPE.2972,,https://dblp.org/rec/journals/spe/RoyS21.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 15 Jun 2021 01:00:00 +0200",0,True,2,09/1571,09/1571,2026-01-31 22:35:58.815026,2026-01-31 22:35:58.819551
340,"Resource management of IoT edge devices: Challenges, techniques, and
solutions",resource management of iot edge devices challenges techniques and solutions,DBLP:journals/spe/KumarJVS21,article,2021,Softw. Pract. Exp.,,51,12,2357--2359,,,,https://doi.org/10.1002/spe.3006,10.1002/SPE.3006,,https://dblp.org/rec/journals/spe/KumarJVS21.bib,"dblp computer science bibliography, https://dblp.org",,,"Wed, 15 Dec 2021 00:00:00 +0100",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.819776,2026-01-31 22:35:58.822926
341,Fog Enabled Distributed Training Architecture for Federated Learning,fog enabled distributed training architecture for federated learning,DBLP:conf/bigda/KumarS21,conference,2021,,"Big Data Analytics - 9th International Conference, BDA 2021, Virtual
Event, December 15-18, 2021, Proceedings",13147,,78--92,Springer,Lecture Notes in Computer Science,"Satish Narayana Srirama, Jerry Chun-Wei Lin, Raj Bhatnagar, Sonali Agarwal, P. Krishna Reddy",https://doi.org/10.1007/978-3-030-93620-4_7,10.1007/978-3-030-93620-4_7,,https://dblp.org/rec/conf/bigda/KumarS21.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 14 Jan 2022 10:25:27 +0100",0,True,2,09/1571,09/1571,2026-01-31 22:35:58.836004,2026-01-31 22:35:58.840155
342,"Big Data Analytics - 9th International Conference, BDA 2021, Virtual
Event, December 15-18, 2021, Proceedings",big data analytics  9th international conference bda 2021 virtual event december 1518 2021 proceedings,DBLP:conf/bigda/2021,proceedings,2021,,,13147,,,Springer,Lecture Notes in Computer Science,"Satish Narayana Srirama, Jerry Chun-Wei Lin, Raj Bhatnagar, Sonali Agarwal, P. Krishna Reddy",https://doi.org/10.1007/978-3-030-93620-4,10.1007/978-3-030-93620-4,,https://dblp.org/rec/conf/bigda/2021.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 14 Jan 2022 00:00:00 +0100",0,True,0,09/1571,09/1571,2026-01-31 22:35:58.840570,2026-01-31 22:35:58.841407
344,"COSCO: Container Orchestration using Co-Simulation and Gradient
Based Optimization for Fog Computing Environments",cosco container orchestration using cosimulation and gradient based optimization for fog computing environments,DBLP:journals/corr/abs-2104-14392,article,2021,CoRR,,abs/2104.14392,,,,,,https://arxiv.org/abs/2104.14392,,,https://dblp.org/rec/journals/corr/abs-2104-14392.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 30 Jul 2021 01:00:00 +0200",0,True,5,09/1571,09/1571,2026-01-31 22:35:58.854794,2026-01-31 22:35:58.871716
345,"DeF-DReL: Systematic Deployment of Serverless Functions in Fog and
Cloud environments using Deep Reinforcement Learning",defdrel systematic deployment of serverless functions in fog and cloud environments using deep reinforcement learning,DBLP:journals/corr/abs-2110-15702,article,2021,CoRR,,abs/2110.15702,,,,,,https://arxiv.org/abs/2110.15702,,,https://dblp.org/rec/journals/corr/abs-2110-15702.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 02 Nov 2021 00:00:00 +0100",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.871975,2026-01-31 22:35:58.876646
346,TOSCAdata: Modelling data pipeline applications in TOSCA,toscadata modelling data pipeline applications in tosca,DBLP:journals/corr/abs-2111-02524,article,2021,CoRR,,abs/2111.02524,,,,,,https://arxiv.org/abs/2111.02524,,,https://dblp.org/rec/journals/corr/abs-2111-02524.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 05 Nov 2021 00:00:00 +0100",0,True,5,09/1571,09/1571,2026-01-31 22:35:58.886245,2026-01-31 22:35:58.903091
347,"Serverless data pipeline approaches for IoT data in fog and cloud
computing",serverless data pipeline approaches for iot data in fog and cloud computing,DBLP:journals/corr/abs-2112-09974,article,2021,CoRR,,abs/2112.09974,,,,,,https://arxiv.org/abs/2112.09974,,,https://dblp.org/rec/journals/corr/abs-2112-09974.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 04 Jan 2022 00:00:00 +0100",0,True,4,09/1571,09/1571,2026-01-31 22:35:58.903382,2026-01-31 22:35:58.914713
348,"Multi-objective scheduling strategy for scientific workflows in cloud
environment: A Firefly-based approach",multiobjective scheduling strategy for scientific workflows in cloud environment a fireflybased approach,DBLP:journals/asc/AdhikariAS20,article,2020,Appl. Soft Comput.,,93,,106411,,,,https://doi.org/10.1016/j.asoc.2020.106411,10.1016/J.ASOC.2020.106411,,https://dblp.org/rec/journals/asc/AdhikariAS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 05 Sep 2020 01:00:00 +0200",0,True,3,09/1571,09/1571,2026-01-31 22:35:58.914977,2026-01-31 22:35:58.922424
349,"CCoDaMiC: A framework for Coherent Coordination of Data Migration
and Computation platforms",ccodamic a framework for coherent coordination of data migration and computation platforms,DBLP:journals/fgcs/DehurySC20,article,2020,Future Gener. Comput. Syst.,,109,,1--16,,,,https://doi.org/10.1016/j.future.2020.03.029,10.1016/J.FUTURE.2020.03.029,,https://dblp.org/rec/journals/fgcs/DehurySC20.bib,"dblp computer science bibliography, https://dblp.org",,,"Mon, 03 Jan 2022 00:00:00 +0100",0,True,3,09/1571,09/1571,2026-01-31 22:35:58.922732,2026-01-31 22:35:58.930234
350,RADON: rational decomposition and orchestration for serverless computing,radon rational decomposition and orchestration for serverless computing,DBLP:journals/ife/CasaleAHHJLLPPR20,article,2020,SICS Softw.-Intensive Cyber Phys. Syst.,,35,1-2,77--87,,,,https://doi.org/10.1007/s00450-019-00413-w,10.1007/S00450-019-00413-W,,https://dblp.org/rec/journals/ife/CasaleAHHJLLPPR20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 12 Nov 2023 00:00:00 +0100",0,True,14,09/1571,09/1571,2026-01-31 22:35:58.930648,2026-01-31 22:35:58.941608
351,"Adaptive Edge Process Migration for IoT in Heterogeneous Fog and Edge
Computing Environments",adaptive edge process migration for iot in heterogeneous fog and edge computing environments,DBLP:journals/ijmcmc/ChangHS20,article,2020,Int. J. Mob. Comput. Multim. Commun.,,11,3,1--21,,,,https://doi.org/10.4018/IJMCMC.2020070101,10.4018/IJMCMC.2020070101,,https://dblp.org/rec/journals/ijmcmc/ChangHS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 07 Nov 2020 00:00:00 +0100",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.117012,2026-01-31 22:35:59.120224
352,"Application Offloading Strategy for Hierarchical Fog Environment Through
Swarm Optimization",application offloading strategy for hierarchical fog environment through swarm optimization,DBLP:journals/iotj/AdhikariSA20,article,2020,IEEE Internet Things J.,,7,5,4317--4328,,,,https://doi.org/10.1109/JIOT.2019.2958400,10.1109/JIOT.2019.2958400,,https://dblp.org/rec/journals/iotj/AdhikariSA20.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 04 Jul 2025 01:00:00 +0200",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.127394,2026-01-31 22:35:59.134975
353,"DPTO: A Deadline and Priority-Aware Task Offloading in Fog Computing
Framework Leveraging Multilevel Feedback Queueing",dpto a deadline and priorityaware task offloading in fog computing framework leveraging multilevel feedback queueing,DBLP:journals/iotj/AdhikariMS20,article,2020,IEEE Internet Things J.,,7,7,5773--5782,,,,https://doi.org/10.1109/JIOT.2019.2946426,10.1109/JIOT.2019.2946426,,https://dblp.org/rec/journals/iotj/AdhikariMS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 06 Aug 2020 01:00:00 +0200",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.135217,2026-01-31 22:35:59.137609
354,"Application deployment using containers with auto-scaling for microservices
in cloud environment",application deployment using containers with autoscaling for microservices in cloud environment,DBLP:journals/jnca/SriramaAP20,article,2020,J. Netw. Comput. Appl.,,160,,102629,,,,https://doi.org/10.1016/j.jnca.2020.102629,10.1016/J.JNCA.2020.102629,,https://dblp.org/rec/journals/jnca/SriramaAP20.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 29 May 2020 01:00:00 +0200",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.144562,2026-01-31 22:35:59.148851
355,"Profit-aware application placement for integrated Fog-Cloud computing
environments",profitaware application placement for integrated fogcloud computing environments,DBLP:journals/jpdc/MahmudSRB20,article,2020,J. Parallel Distributed Comput.,,135,,177--190,,,,https://doi.org/10.1016/j.jpdc.2019.10.001,10.1016/J.JPDC.2019.10.001,,https://dblp.org/rec/journals/jpdc/MahmudSRB20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.153727,2026-01-31 22:35:59.157971
356,"Cost-efficient dynamic scheduling of big data applications in apache
spark on cloud",costefficient dynamic scheduling of big data applications in apache spark on cloud,DBLP:journals/jss/IslamSKB20,article,2020,J. Syst. Softw.,,162,,,,,,https://doi.org/10.1016/j.jss.2019.110515,10.1016/J.JSS.2019.110515,,https://dblp.org/rec/journals/jss/IslamSKB20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.168383,2026-01-31 22:35:59.171671
357,"STEP-ONE: Simulated testbed for Edge-Fog processes based on the
Opportunistic Network Environment simulator",stepone simulated testbed for edgefog processes based on the opportunistic network environment simulator,DBLP:journals/jss/MassSC20,article,2020,J. Syst. Softw.,,166,,110587,,,,https://doi.org/10.1016/j.jss.2020.110587,10.1016/J.JSS.2020.110587,,https://dblp.org/rec/journals/jss/MassSC20.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 16 Jun 2020 01:00:00 +0200",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.183948,2026-01-31 22:35:59.186665
358,"Joint Computation Offloading and Scheduling Optimization of IoT Applications
in Fog Networks",joint computation offloading and scheduling optimization of iot applications in fog networks,DBLP:journals/tnse/HazraAAS20,article,2020,IEEE Trans. Netw. Sci. Eng.,,7,4,3266--3278,,,,https://doi.org/10.1109/TNSE.2020.3021792,10.1109/TNSE.2020.3021792,,https://dblp.org/rec/journals/tnse/HazraAAS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 09 Jan 2021 00:00:00 +0100",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.193368,2026-01-31 22:35:59.205902
359,"An efficient service dispersal mechanism for fog and cloud computing
using deep reinforcement learning",an efficient service dispersal mechanism for fog and cloud computing using deep reinforcement learning,DBLP:conf/ccgrid/DehuryS20,conference,2020,,"20th IEEE/ACM International Symposium on Cluster, Cloud and Internet
Computing, CCGRID 2020, Melbourne, Australia, May 11-14, 2020",,,589--598,IEEE,,,https://doi.org/10.1109/CCGrid49817.2020.00-34,10.1109/CCGRID49817.2020.00-34,,https://dblp.org/rec/conf/ccgrid/DehuryS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Wed, 22 Jul 2020 16:50:17 +0200",0,True,2,09/1571,09/1571,2026-01-31 22:35:59.206329,2026-01-31 22:35:59.211250
360,Data Pipeline Architecture for Serverless Platform,data pipeline architecture for serverless platform,DBLP:conf/ecsa/DehuryJSTG20,conference,2020,,"Software Architecture - 14th European Conference, ECSA 2020 Tracks
and Workshops, L'Aquila, Italy, September 14-18, 2020, Proceedings",1269,,241--246,Springer,Communications in Computer and Information Science,"Henry Muccini, Paris Avgeriou, Barbora Buhnova, Javier Cámara, Mauro Caporuscio, Mirco Franzago, Anne Koziolek, Patrizia Scandurra, Catia Trubiani, Danny Weyns, Uwe Zdun",https://doi.org/10.1007/978-3-030-59155-7_18,10.1007/978-3-030-59155-7_18,,https://dblp.org/rec/conf/ecsa/DehuryJSTG20.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 15 Oct 2024 20:29:19 +0200",0,True,5,09/1571,09/1571,2026-01-31 22:35:59.211746,2026-01-31 22:35:59.217780
361,"Software Techniques for Making Cloud Data Centers Energy-efficient:
A Systematic Mapping Study",software techniques for making cloud data centers energyefficient a systematic mapping study,DBLP:conf/euromicro/KhanAPS20,conference,2020,,"46th Euromicro Conference on Software Engineering and Advanced Applications,
SEAA 2020, Portoroz, Slovenia, August 26-28, 2020",,,479--486,IEEE,,,https://doi.org/10.1109/SEAA51224.2020.00081,10.1109/SEAA51224.2020.00081,,https://dblp.org/rec/conf/euromicro/KhanAPS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 02 Oct 2022 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.234057,2026-01-31 22:35:59.237290
362,Resource Management for Processing Wide Area Data Streams on Supercomputers,resource management for processing wide area data streams on supercomputers,DBLP:conf/icccn/ChungASJK20,conference,2020,,"29th International Conference on Computer Communications and Networks,
ICCCN 2020, Honolulu, HI, USA, August 3-6, 2020",,,1--6,IEEE,,,https://doi.org/10.1109/ICCCN49398.2020.9209669,10.1109/ICCCN49398.2020.9209669,,https://dblp.org/rec/conf/icccn/ChungASJK20.bib,"dblp computer science bibliography, https://dblp.org",,,"Mon, 17 Jun 2024 01:00:00 +0200",0,True,5,09/1571,09/1571,2026-01-31 22:35:59.249597,2026-01-31 22:35:59.254392
363,"Should energy consumption influence the choice of Android third-party
HTTP libraries?",should energy consumption influence the choice of android thirdparty http libraries,DBLP:conf/icse/AnwarDPS20,conference,2020,,"MOBILESoft '20: IEEE/ACM 7th International Conference on Mobile
Software Engineering and Systems, Seoul, Republic of Korea, July 13-15,
2020",,,87--97,ACM,,"David Lo, Leonardo Mariani, Ali Mesbah",https://doi.org/10.1145/3387905.3392095,10.1145/3387905.3392095,,https://dblp.org/rec/conf/icse/AnwarDPS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 27 Jul 2023 16:07:53 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.275186,2026-01-31 22:35:59.277808
364,"Coverage Analysis of NB-IoT and Sigfox: Two Estonian University Campuses
as a Case Study",coverage analysis of nbiot and sigfox two estonian university campuses as a case study,DBLP:conf/iwcmc/PoddarKMS20,conference,2020,,"16th International Wireless Communications and Mobile Computing Conference,
IWCMC 2020, Limassol, Cyprus, June 15-19, 2020",,,1491--1497,IEEE,,,https://doi.org/10.1109/IWCMC48107.2020.9148570,10.1109/IWCMC48107.2020.9148570,,https://dblp.org/rec/conf/iwcmc/PoddarKMS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 28 Sep 2021 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.289695,2026-01-31 22:35:59.293031
365,"A Manifesto for Future Generation Cloud Computing: Research Directions
for the Next Decade",a manifesto for future generation cloud computing research directions for the next decade,DBLP:journals/csur/BuyyaSCCSVGJVNT19,article,2019,ACM Comput. Surv.,,51,5,105:1--105:38,,,,https://doi.org/10.1145/3241737,10.1145/3241737,,https://dblp.org/rec/journals/csur/BuyyaSCCSVGJVNT19.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 15 Nov 2025 00:00:00 +0100",0,True,25,09/1571,09/1571,2026-01-31 22:35:59.305554,2026-01-31 22:35:59.327728
366,"A Survey on Scheduling Strategies for Workflows in Cloud Environment
and Emerging Trends",a survey on scheduling strategies for workflows in cloud environment and emerging trends,DBLP:journals/csur/AdhikariAS19,article,2019,ACM Comput. Surv.,,52,4,68:1--68:36,,,,https://doi.org/10.1145/3325097,10.1145/3325097,,https://dblp.org/rec/journals/csur/AdhikariAS19.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.882930,2026-01-31 22:35:59.891066
367,Research challenges in nextgen service orchestration,research challenges in nextgen service orchestration,DBLP:journals/fgcs/VaqueroCEBSZ19,article,2019,Future Gener. Comput. Syst.,,90,,20--38,,,,https://doi.org/10.1016/j.future.2018.07.039,10.1016/J.FUTURE.2018.07.039,,https://dblp.org/rec/journals/fgcs/VaqueroCEBSZ19.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,6,09/1571,09/1571,2026-01-31 22:35:59.891318,2026-01-31 22:35:59.897130
368,"Edge Process Management: A case study on adaptive task scheduling
in mobile IoT",edge process management a case study on adaptive task scheduling in mobile iot,DBLP:journals/iot/MassCS19,article,2019,Internet Things,,6,,,,,,https://doi.org/10.1016/j.iot.2019.100051,10.1016/J.IOT.2019.100051,,https://dblp.org/rec/journals/iot/MassCS19.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.927931,2026-01-31 22:35:59.935864
369,"Multi-objective accelerated particle swarm optimization with a container-based
scheduling for Internet-of-Things in cloud environment",multiobjective accelerated particle swarm optimization with a containerbased scheduling for internetofthings in cloud environment,DBLP:journals/jnca/AdhikariS19,article,2019,J. Netw. Comput. Appl.,,137,,35--61,,,,https://doi.org/10.1016/j.jnca.2019.04.003,10.1016/J.JNCA.2019.04.003,,https://dblp.org/rec/journals/jnca/AdhikariS19.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,2,09/1571,09/1571,2026-01-31 22:35:59.936095,2026-01-31 22:35:59.940114
370,"Quality of Experience (QoE)-aware placement of applications in Fog
computing environments",quality of experience qoeaware placement of applications in fog computing environments,DBLP:journals/jpdc/MahmudSRB19,article,2019,J. Parallel Distributed Comput.,,132,,190--203,,,,https://doi.org/10.1016/j.jpdc.2018.03.004,10.1016/J.JPDC.2018.03.004,,https://dblp.org/rec/journals/jpdc/MahmudSRB19.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 30 Jul 2021 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.940494,2026-01-31 22:35:59.952442
371,An auction-based incentive mechanism for heterogeneous mobile clouds,an auctionbased incentive mechanism for heterogeneous mobile clouds,DBLP:journals/jss/ZhouSB19,article,2019,J. Syst. Softw.,,152,,151--164,,,,https://doi.org/10.1016/j.jss.2019.03.003,10.1016/J.JSS.2019.03.003,,https://dblp.org/rec/journals/jss/ZhouSB19.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 21 Aug 2025 01:00:00 +0200",0,True,3,09/1571,09/1571,2026-01-31 22:35:59.952666,2026-01-31 22:35:59.955065
372,"Integration of Cloud, Internet of Things, and Big Data Analytics",integration of cloud internet of things and big data analytics,DBLP:journals/spe/SomaniZSB19,article,2019,Softw. Pract. Exp.,,49,4,561--564,,,,https://doi.org/10.1002/spe.2664,10.1002/SPE.2664,,https://dblp.org/rec/journals/spe/SomaniZSB19.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 09 Apr 2020 01:00:00 +0200",0,True,4,09/1571,09/1571,2026-01-31 22:35:59.961760,2026-01-31 22:35:59.965161
